ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,Видимость в каталоге,Короткое описание,Описание,Дата начала действия продажной цены,Дата окончания действия продажной цены,Статус налога,Налоговый класс,В наличии?,Запасы,Задержанный заказ возможен?,Продано индивидуально?,Вес (kg),Длина (cm),Ширина (cm),Высота (cm),Разрешить отзывы от клиентов?,Примечание к покупке,Цена распродажи,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит загрузок,Число дней до просроченной загрузки,Родительский,Сгруппированные товары,Апсейл,Кросселы,Внешний URL,Текст кнопки,Позиция,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1
,simple,132622,"Брит Care Cat Daisy для кошек, склонных к излишнему весу  2 кг",1,0,visible,,"Состав: дегидрировання индейка (26%), рис, дегидрированная курица (12%), куриное филе (10%), куриный жир (консервирован токоферолами), сушеные яблоки, рисовые отруби, свекольный жом, пивные дрожжи, куриная печень (2%), лососевое масло, подорожник (200 мг/кг), маннан-олигосахариды (155 мг/кг), фрукто-олигосахариды (125 мг/кг), экстракт юкки Шидигера (Yucca schidigera) (85 мг/кг), облепиха крушиновидная (50 мг/кг). 

Гарантированный анализ: сырой белок 40%, сырой жир 10%, сырая клетчатка 6,2%, сырая зола 5,6%, влага 10%, кальций 1,6%, фосфор 1,2%, натрий 0,2%, магний 0,07%. Питательные добавки на 1 кг: витамин A (E672) 22 500 МЕ, витамин D3 (E671) 900 МЕ, витамин E (3a700) 650 мг, витамин C (E300) 300 мг, таурин 2 300 мг, холина хлорид 2 100 мг, L-карнитин 200 мг, ниацин 40 мг, биотин 1,8 мг, цинк (E6) 150 мг, марганец (E5) 56 мг, железо (E1) 47 мг, медь (E4) 11 мг, йод (E2) 3,7 мг, селен (E8) 0,23 мг, DL-метионин (3.1.1.) 13 мг, аргинин (3c3.6.1) 11 мг, L-лизин (3.2.3.) 9 мг, натрия гексаметафосфат (E452i) 710 мг. омега-3: 0,17%, омега-6: 1,1%. 

Энергетическая ценность: 3 650 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,123,Кошки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/a41f1a2d3593e77fd2336e5cf763d979.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,132623,"Брит Care Cat Daisy для кошек, склонных к излишнему весу 400 г",1,0,visible,,"Состав: дегидрировання индейка (26%), рис, дегидрированная курица (12%), куриное филе (10%), куриный жир (консервирован токоферолами), сушеные яблоки, рисовые отруби, свекольный жом, пивные дрожжи, куриная печень (2%), лососевое масло, подорожник (200 мг/кг), маннан-олигосахариды (155 мг/кг), фрукто-олигосахариды (125 мг/кг), экстракт юкки Шидигера (Yucca schidigera) (85 мг/кг), облепиха крушиновидная (50 мг/кг). 

Гарантированный анализ: сырой белок 40%, сырой жир 10%, сырая клетчатка 6,2%, сырая зола 5,6%, влага 10%, кальций 1,6%, фосфор 1,2%, натрий 0,2%, магний 0,07%. 

Питательные добавки на 1 кг: витамин A (E672) 22 500 МЕ, витамин D3 (E671) 900 МЕ, витамин E (3a700) 650 мг, витамин C (E300) 300 мг, таурин 2 300 мг, холина хлорид 2 100 мг, L-карнитин 200 мг, ниацин 40 мг, биотин 1,8 мг, цинк (E6) 150 мг, марганец (E5) 56 мг, железо (E1) 47 мг, медь (E4) 11 мг, йод (E2) 3,7 мг, селен (E8) 0,23 мг, DL-метионин (3.1.1.) 13 мг, аргинин (3c3.6.1) 11 мг, L-лизин (3.2.3.) 9 мг, натрия гексаметафосфат (E452i) 710 мг. омега-3: 0,17%, омега-6: 1,1%. 

Энергетическая ценность: 3 650 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,124,Кошки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/9e7812da26fbea98bfbcb00b2f98661f.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,132624,Брит Care Cat Krezy Missy for Sterilised для кастратов 7кг,1,0,visible,,"Высокое содержание мяса (20% дегидрированной курицы, 14% куриного филе, 14% дегидрированной индейки). Сбалансированный минеральный состав Облепиха крушиновидная, обладающая противовоспалительным и антибактериальным действием. А также обеспечивает защиту мочевыводящей системы. Гипоаллергенный состав. Витамин С и гексаметафосфат натрия. Низкое содержание магния в Брит Кеа Кэт Мисси поддерживает оптимальный pH мочи. Мало жира, много клетчатки помогает избежать излишнего веса, свойственного кастрированным и стерилизованным кошкам.

Ингредиенты: дегидрированная курица 20%, рис, куриное филе 14%, дегидрированная индейка 14%, куриный жир (консервирован токоферолами), рисовые отруби, сушеные яблоки, пивные дрожжи, куриная печень 2%, рыбий жир из лосося, маннанолигосахариды 155 мг/кг, фруктоолигосахариды 125 мг/кг, экстракт юкки Шидигера (yucca schidigera) 85 мг/кг, облепиха крушиновидная 50 мг/кг 

Анализ компонентов: сырой протеин 36%, сырой жир 12%, сырая клетчатка 5%, сырая зола 6,6%, влага 10%, кальций 0,7%, фосфор 0,6%, натрий 0,8%, магний 0,04% Добавки на 1 кг: витамин A (E672) 22 500 ME, витамин D3 (E671) 900 ME, витамин E (3a700) 650 мг, витамин C (E300) 300 мг, таурин 2 300 мг, холина хлорид 2100 мг, L-карнитин 65 мг, ниацин 40 мг, биотин 1,8 мг, цинк (E6) 150 мг, марганец (E5) 56 мг, железо (E1) 47 мг, медь (E4) 11 мг, йод (E2) 3,7 мг, селен (E8) 0,23 мг, DL-метионин (3.1.1.) 13 мг, аргинин (3c3.6.1) 11 мг, L-лизин (3.2.3.) 9 мг, натрия гексаметафосфат (e452i) 710 мг",,,taxable,,1,,0,0,,,,,0,,,125,Кошки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/6f75a8ef7fdc40b3630eb964153ed9de.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,520169,"Брит Care mini  беззерновой корм для собак мини-пород с чувствительным пищеварением, 2 кг",1,0,visible,,"Сухой беззерновой гипоаллергенный корм для собак миниатюрных пород с чувствительным пищеварением.
• Отсутствие зерновых – снижение нагрузки на пищеварительный тракт, стабилизация уровня сахара в крови.
• Оленина – легко усвояемое мясо
• Пребиотики – для улучшения пищеварения
• Чертополох – поддержка функций печени
• Ромашка, гвоздика, шалфей, водоросли Ascophyllum nodosum – профилактика зубного камня.
• Голубика, источник флавоноидов и полифенолов – антистрессовое воздействие, поддержка сердца.
Гранулы 1 см.

Состав:
оленина (40%), желтый горох, куриный жир (консервирован токоферолами), нут, гречиха, сушеное яблоко, рыбий жир из лосося (3%), льняное семя (3%), пивные дрожжи, водоросли (0,5%, Ascophyllum nodosum), гидролизованные панцири ракообразных (источник глюкозамина, 260 мг/кг), голубика (230 мг/кг, источник полифенолов 70 мг/кг и флавоноидов 30 мг/кг), хрящевой экстракт (источник хондроитина, 160 мг/кг), маннан-олигосахариды (150 мг/кг), травы и фрукты (розмарин, цитрусовые, куркума, 150 мг/кг), фрукто-олигосахариды (100 мг/кг), юкка (Yucca schidigera) (100 мг/кг), инулин (90 мг/кг), молочный чертополох (75 мг/кг), облепиха крушинная (75 мг/кг), ромашка (30 мг/кг), гвоздика (30 мг/кг), шалфей (25 мг/кг).

Аналитика
сырой белок 28,0%, сырой жир 17,0%, влага 10,0%, сырая зола 8,8%, сырая клетчатка 2,0%, кальций 1,4%, фосфор 1,0%, Омега-3 жирные кислоты 1,1%, Омега-6 жирные кислоты 2,2%.",,,taxable,,1,,0,0,,,,,0,,,126,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/e1e9b803619ceab36a61e89d05b47fe0.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,521067,"Брит Care mini беззерновой для собак мини-пород с избыточным весом/стерилизованных, 2 кг ",1,0,visible,,"Сухой беззерновой гипоаллергенный корм для собак миниатюрных пород с избыточным весом или стерилизованных собак.
Отсутствие зерновых – для снижение нагрузки на пищеварительный тракт, стабилизация уровня сахара в крови, профилактика ожирения.
• Мясо кролика – диетическое
• Свежее мясо лосося (без костей) –  очень вкусное и легкоусвояемое
• Пониженное содержание жира
• Пребиотики – для улучшения пищеварения
• Ромашка, гвоздика, шалфей, водоросли Ascophyllum nodosum – профилактика зубного камня.
• Голубика, источник флавоноидов и полифенолов – антистрессовое воздействие, поддержка сердца.
Гранулы 0,9 см. 

Состав
мука из мяса кролика (25%), белок из свежего лосося (15%), желтый горох, нут, бамбуковая лигноцеллюлоза, сушеное яблоко, гречиха, льняное семя (4%), куриный жир (консервирован токоферолами), рыбий жир из лосося (2%), шелуха и семена псиллиума (1%), пивные дрожжи, водоросли (0,5%, Ascophyllum nodosum), хлорид натрия, гидролизованные панцири ракообразных (источник глюкозамина, 260 мг/кг), голубика (230 мг/кг, источник полифенолов 70 мг/кг и флавоноидов 30 мг/кг), хрящевой экстракт (источник хондроитина, 160 мг/кг), маннан-олигосахариды (150 мг/кг), травы и фрукты (розмарин, цитрусовые, куркума, 150 мг/кг), фрукто-олигосахариды (100 мг/кг), юкка (Yucca schidigera) (100 мг/кг), клюква (100 мг/кг), инулин (90 мг/кг), молочный чертополох (75 мг/кг), облепиха крушинная (75 мг/кг), ромашка (30 мг/кг), гвоздика (30 мг/кг), шалфей (25 мг/кг).

Аналитика:
сырой белок 26,0%, сырой жир 12,0%, влага 10,0%, сырая зола 5,5%, сырая клетчатка 8,5%, кальций 1,1%, фосфор 0,9%, Омега-3 жирные кислоты 1,5%, Омега-6 жирные кислоты 1,3%.",,,taxable,,1,,0,0,,,,,0,,,127,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/2ec7c0232900dfc23cc4f0be498ce389.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,520220,"Брит Care mini беззерновой корм для собак мини-пород с шерстью, требующей ухода, 2 кг",1,0,visible,,"Сухой беззерновой гипоаллергенный корм для взрослых собак миниатюрных пород с длинной, а также для собак, шерсть которых нуждается в дополнительном уходе.
 Свежее мясо лосося (без костей) –  очень вкусное и легкоусвояемое.
• Повышенное содержание Омега жирных кислот – здоровая кожа и великолепная блестящая шерсть.
• Пребиотики – для улучшения пищеварения.
• Ромашка, гвоздика, шалфей, водоросли Ascophyllum nodosum – профилактика зубного камня.
• Голубика, источник флавоноидов и полифенолов – антистрессовое воздействие, поддержка сердца.
Гранулы 0,8 см.

Состав:
сушеный лосось (25%), белок из свежего лосося (16%), сушеная сельдь (14%), желтый горох, куриный жир (консервирован токоферолами), нут, льняное семя (4%), рыбий жир из лосося (3%), гречиха, масло примулы вечерней (1%), сушеное яблоко, пивные дрожжи, водоросли (0,5%, Ascophyllum nodosum), гидролизованные панцири ракообразных (источник глюкозамина, 260 мг/кг), голубика (230 мг/кг, источник полифенолов 70 мг/кг и флавоноидов 30 мг/кг), хрящевой экстракт (источник хондроитина, 160 мг/кг), маннан-олигосахариды (150 мг/кг), травы и фрукты (розмарин, цитрусовые, куркума, 150 мг/кг), фрукто-олигосахариды (100 мг/кг), юкка (Yucca schidigera) (100 мг/кг), инулин (90 мг/кг), молочный чертополох (75 мг/кг), облепиха крушинная (75 мг/кг), ромашка (30 мг/кг), гвоздика (30 мг/кг), шалфей (25 мг/кг).

Аналитика:
сырой белок 32,0%, сырой жир 18,0%, влага 10,0%, сырая зола 8,4%, сырая клетчатка 1,8%, кальций 1,3%, фосфор 1,0%, Омега-3 жирные кислоты 2,4%, Омега-6 жирные кислоты 2,7%.",,,taxable,,1,,0,0,,,,,0,,,128,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/7d6b32a2e41af6dd87772eb8240bb1a5.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,520107,"Брит Care mini беззерновой корм с ягнёнком для мини-собак, 2 кг",1,0,visible,,"Сухой беззерновой гипоаллергенный корм для взрослых собак миниатюрных пород. Полнорационный корм для собак.
Миниатюрные породы собак, в силу своих небольших размеров, более других подвержены негативному влиянию окружающей среды: дорожная пыль, токсины и микробы. Поэтому важно заботиться о естественных защитных барьерах организма с самого рождения: кожа, шерсть, иммунитет слизистой оболочки, клеточный иммунитет. Все это учитывалось при создании кормов Brit Care Mini. Корм Brit Care Mini Adult создан специально для поддержки естественного иммунитета и помощи организму в борьбе со стрессовыми ситуациями.

- Отсутствие зерновых – снижение нагрузки на пищеварительный тракт, стабилизация уровня сахара в крови.
- Свежее мясо ягненка (без костей) – очень вкусное и легкоусвояемое.
- Пребиотики – улучшение пищеварения.
- Ромашка, гвоздика, шалфей, водоросли Ascophyllum nodosum – профилактика зубного камня.
- Голубика, источник флавоноидов и полифенолов – антистрессовое воздействие, поддержка сердца.

Гранулы 0,9 см.

Состав: мука из мяса ягненка (30%), белок из свежей ягнятины (15%), желтый горох, куриный жир (консервирован токоферолами), нут, гречиха, сушеное яблоко, льняное семя (3%), рыбий жир из лосося (2%), пивные дрожжи, водоросли (0,5%, Ascophyllum nodosum), гидролизованные панцири ракообразных (источник глюкозамина, 260 мг/кг), голубика (230 мг/кг, источник полифенолов 70 мг/кг и флавоноидов 30 мг/кг), хрящевой экстракт (источник хондроитина, 160 мг/кг), маннан-олигосахариды (150 мг/кг), травы и фрукты (розмарин, цитрусовые, куркума, 150 мг/кг), фрукто-олигосахариды (100 мг/кг), юкка (Yucca schidigera) (100 мг/кг), инулин (90 мг/кг), молочный чертополох (75 мг/кг), облепиха крушинная (75 мг/кг), ромашка (30 мг/кг), гвоздика (30 мг/кг), шалфей (25 мг/кг).

Аналитический состав: сырой белок 29,0%, сырой жир 18,0%, влага 10,0%, сырая зола 8,4%, сырая клетчатка 2,5%, кальций 1,6%, фосфор 1,3%, Омега-3 жирные кислоты 1,1%, Омега-6 жирные кислоты 2,3%.

Питательные добавки на 1кг: витамин А (3a672a) 20 000 ME; витамин D3 (E671) 1 500 ME; витамин E (?-токоферол) (3a700) 500 мг; витамин С (3a312) 300 мг; холинхлорид (3a890) 700 мг; таурин (3a370) 200 мг; биотин (3a880) 3 мг; витамин В1 (3a821) 1 мг; витамин В2 4 мг; ниацинамид (3a315) 12 мг; кальция D-пантотенат (3a841) 10 мг; витамин В6 (3a831) 1 мг; фолиевая кислота (3a316) 0,5 мг; витамин В12 0,04 мг; хелат цинка гидрата аминокислот 100 мг; моногидрат сульфата железа 80 мг; оксид марганца 40 мг; йодид калия 0,75 мг; хелат меди и аминокислот n-гидрат 15 мг; органическая форма селена, производное от жизнедеятельности дрожжей Saccharomyces Cerevisiae CNCM I-3060 0,2 мг.

Энергетическая ценность: 3 880 ккал/кг .",,,taxable,,1,,0,0,,,,,0,,,129,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/ac0a74ae67c1c086d14e82130c38a22f.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,132717,"Брит Care Senior для собак старше 7 лет ягненок с рисом, 1 кг",1,0,visible,,"Полнорационный гипоаллергенный корм с ягненком и рисом для пожилых собак всех пород.

Состав: мука из мяса ягненка (35%), рис (35%), сушеное яблоко, куриный жир (консервирован токоферолами), сушеный свекловичный жом, натуральные ароматизаторы, рыбий жир лососевых рыб (2%), пивные дрожжи, гидролизованные панцири ракообразных (источник глюкозамина, 260 мг/кг), хрящевой экстракт (источник хондроитина, 160 мг/кг), маннан-олигосахариды (150 мг/кг), экстракт из трав и фруктов (розмарин, гвоздика, цитрусовые, куркума, 150 мг/кг), фрукто-олигосахариды (100 мг/кг), юкка Шидигера (yucca schidigera) (100 мг/кг), инулин (90 мг/кг), молочный чертополох (75 мг/кг).
Аналитические составляющие:
сырой белок 25,0 %
сырой жир 12,0 %
влага10,0 %
сырая зола7,0 %
сырая клетчатка4,2 %
кальций 1,5 %
фосфор 1,2 %
 
Энергетическая ценность: 3 550 ккал/кг,
 
Пищевые добавки на 1 кг:
витамин A 20 000 МЕ
витамин D3 1 500 МЕ
витамин E (α-токоферол) 500 мг
витамин С 200 мг
холина хлорид 600 мг
биотин 0,6 мг
витамин В1 1,0 мг
витамин В2 4,0 мг
ниацинамид 12 мг
пантотенат кальция 10 мг
витамин В6 1,0 мг
фолиевая кислота 0,5 мг
витамин В12 0,04 мг
Е1 железо70 мг
Е6 цинк 80 мг 
Е5 марганец 35 мг
Е4 медь 15 мг
Е2 йод0,65 мг
Е8 селен 0,25 мг",,,taxable,,1,,0,0,,,,,0,,,130,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/96b4198dfdbe63746b6d0156ea02c5b6.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,132747,"Брит Care Venison для собак с чувствительным пищеварением, оленина с картофелем, 1 кг",1,0,visible,,"Гипоаллергенный беззерновой корм с олениной и картофелем для взрослых собак всех пород с чувствительным пищеварением, склонных к аллергии и при пищевой непереносимости.
Корм оказывают благоприятное влияние на кишечную микрофлору и поддерживают ее в здоровом состоянии.
Не содержит - сои, кукурузы, пшеницы, ГМО.

Состав: Оленина (36%), картофель (35%), сушеное яблоко, куриный жир (сохранен при помощи токоферолов), рыбий жир лососевых рыб (5%), пивные дрожжи, натуральные ароматизаторы, гидролизованные панцири ракоообразных (источник глюкозамина, 260 мг/кг), экстракт хрящей (источник хондроитина, 160 мг/кг), маннан-олигосахариды (150 мг/кг), травы и фрукты (розмарин, гвоздика, цитрус, куркума, 150 мг/кг), фрукто-олигосахариды (100 мг/кг), юкка Шидигера (yucca schidigera) (100 мг/кг), инулин (90 мг/кг), молочный чертополох (75 мг/кг). 

Гарантированный анализ: сырой белок 25%, сырой жир 14%, влага 10%, сырая зола 8,8%, сырая клетчатка 3,5%, кальций 1,5%, фосфор 1,0%. 
Питательные добавки на 1 кг: витамин A (E672) 20 000 МЕ, витамин D3 (E671) 1 500 МЕ, витамин Е (α-токоферол) (3a700) 500 мг, витамин C (E300) 200 мг, холина хлорид 600 мг, биотин 0,6 мг, витамин В1 1 мг, витамин В2 4 мг, ниацинамид (3a315) 12 мг, пантотенат кальция 10 мг, витамин В6 (3a831) 1 мг, фолиевая кислота (3a316) 0,5 мг, витамин В12 0,04 мг, цинк (E6) 80 мг, железо (E1) 70 мг, марганец (E5) 35 мг, йод (E2) 0,65 мг, медь (E4) 15 мг, селен (3b8.10) 0,25 мг. ",,,taxable,,1,,0,0,,,,,0,,,131,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/5dae318ba93497e962226fb6153bbebf.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,132714,"Брит Care для собак крупных пород, 1 кг",1,0,visible,,"Сбалансированный, хорошо усвояемый особый корм, специально разработанный в соответствии с пищевыми потребностями крупных и гигантских пород собак.",,,taxable,,1,,0,0,,,,,0,,,132,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/4ec740bc2a78a72816b42ed365c27136.jpg,,,,,,,,,1,Производитель,Brit,1,1
